date﻿,unemployment rate,avg_unem,fed_funds,CPI,Oil_Price
23-Nov,3.7,3.607692308,5.33,4.691251,77.69
23-Dec,3.8,3.623076923,5.33,4.557667,71.9
24-Jan,3.7,3.638461538,5.33,4.601332,74.15
24-Feb,3.9,3.669230769,5.33,4.400073,77.25
24-Mar,3.9,3.692307692,5.33,4.502758,81.28
24-Apr,3.9,3.723076923,5.33,4.403618,85.35
24-May,4,3.769230769,5.33,4.300148,80.02
24-Jun,4.1,3.807692308,5.33,4.234733,79.77
24-Jul,4.2,3.853846154,5.33,4.179707,81.8
24-Aug,4.2,3.907692308,5.33,4.112096,76.68
24-Sep,4.1,3.938461538,5.13,4.012724,70.24
24-Oct,4.1,3.961538462,4.83,3.963395,71.99
24-Nov,4.2,3.984615385,4.64,3.876177,69.95
24-Dec,4.1,4.015384615,4.48,3.746553,70.12
25-Jan,4,4.030769231,4.33,3.625276327,75.74
25-Feb,4.1,4.061538462,4.33,3.516515255,71.53
25-Mar,4.2,4.084615385,4.33,3.257815123,68.24
25-Apr,4.2,4.107692308,4.33,3.176689863,63.54
